"33ENG2","14-0000074",01/09/2014,"11272","_48U13WSP6","1",01/09/2014,T,"10:49:45",01/09/2014 10:49:45
"33RES1","14-0000075",01/09/2014,"11272","_48V0SV5UZ","1",01/09/2014,T,"20:11:36",01/09/2014 20:11:36
"33ENG2","14-0000076",01/09/2014,"11272","_48V0U3PD6","1",01/09/2014,T,"21:22:43",01/09/2014 21:22:43
"33RES1","14-0000077",01/11/2014,"11272","_48V0XEHHX","1",01/11/2014,T,"15:49:18",01/11/2014 15:49:18
"33C-1","14-0000077",01/11/2014,"11272","_48V0XN79M","1",01/11/2014,T,"15:49:18",01/11/2014 15:49:18
"33RES1","14-0000078",01/12/2014,"11272","_48V0YLOL9","1",01/12/2014,T,"15:55:53",01/12/2014 15:55:53
"33ENG2","14-0000079",01/13/2014,"11272","_48V0ZIUO0","1",01/13/2014,T,"16:08:13",01/13/2014 16:08:13
"33RES1","14-0000080",01/16/2014,"11272","_48V10CRL2","1",01/16/2014,T,"17:15:31",01/16/2014 17:15:31
"33RES1","14-0000081",01/25/2014,"11272","_48V11GI5Y","1",01/25/2014,T,"17:09:13",01/25/2014 17:09:13
"33ENG2","14-0000081",01/25/2014,"11272","_48V11Q17C","",01/25/2014,T,"17:07:54",01/25/2014 17:07:54
"33ENG2","14-0000082",01/30/2014,"11272","_48V12NZHH","",01/30/2014,T,"23:07:32",01/30/2014 23:07:32
"33RES1","14-0000083",01/31/2014,"11272","_48V13A38Y","1",01/31/2014,T,"06:19:39",01/31/2014 06:19:39
"33C-1","14-0000083",01/31/2014,"11272","_48V13DGNI","1",01/31/2014,T,"06:19:42",01/31/2014 06:19:42
"33RES1","14-0000084",01/31/2014,"11272","_48V147H82","1",01/31/2014,T,"10:06:23",01/31/2014 10:06:23
"33RES1","15-0000002",07/03/2014,"11272","_49514EIEX","",07/03/2014,T,"14:58:00",07/03/2014 14:58:00
"33RES1","15-0000003",07/03/2014,"11272","_49514T0VT","",07/03/2014,T,"15:40:00",07/03/2014 15:40:00
"33RES1","14-0000085",02/03/2014,"11272","_4AG0WWWUH","C",/  /,F,"",/  /       :  :
"33ENG2","14-0000085",02/03/2014,"11272","_4AG0X41CW","C",/  /,F,"",/  /       :  :
"33ENG2","14-0000086",02/12/2014,"11272","_4AG0XT5EK","1",02/12/2014,T,"15:26:03",02/12/2014 15:26:03
"33RES1","14-0000087",02/17/2014,"11272","_4AG0YQDBL","1",02/17/2014,T,"18:23:31",02/17/2014 18:23:31
"33ENG2","14-0000088",02/21/2014,"11272","_4AT0XVFPZ","2",02/21/2014,T,"12:57:26",02/21/2014 12:57:26
"33RES1","14-0000089",02/23/2014,"11272","_4AT10TX62","1",02/23/2014,T,"16:03:04",02/23/2014 16:03:04
"33RES1","14-0000090",02/25/2014,"11272","_4AT11GVFU","1",02/25/2014,T,"02:33:54",02/25/2014 02:33:54
"33RES1","14-0000091",02/26/2014,"11272","_4AT127IL7","1",02/26/2014,T,"16:15:28",02/26/2014 16:15:28
"33RES1","14-0000093",03/02/2014,"11272","_4AT13HSHM","1",03/02/2014,T,"20:02:31",03/02/2014 20:02:31
"33ENG2","14-0000094",03/05/2014,"11272","_4AU0Y5CDO","1",03/05/2014,T,"14:42:12",03/05/2014 14:42:12
"33ENG1","14-0000094",03/05/2014,"11272","_4AU0YBV8E","",03/05/2014,T,"14:46:38",03/05/2014 14:46:38
"33ENG2","14-0000095",03/12/2014,"11272","_4AU11HQ8P","1",/  /,F,"",/  /       :  :
"33ENG2","14-0000096",03/14/2014,"11272","_4B00WJ10B","1",03/14/2014,T,"13:15:25",03/14/2014 13:15:25
"33ENG2","14-0000097",03/17/2014,"11272","_4B00Z3659","1",03/17/2014,T,"21:17:24",03/17/2014 21:17:24
"33RES1","14-0000098",03/22/2014,"11272","_4B00ZVWJG","2",03/22/2014,T,"19:21:30",03/22/2014 19:21:30
"33ENG2","14-0000099",03/24/2014,"11272","_4B30XFO94","1",03/24/2014,T,"12:36:06",03/24/2014 12:36:06
"33ENG2","14-0000100",03/26/2014,"11272","_4B30YLR5Y","M",03/26/2014,T,"02:40:05",03/26/2014 02:40:05
"33BRU1","14-0000103",04/03/2014,"11272","_4B30ZEP3T","1",04/03/2014,T,"15:08:00",04/03/2014 15:08:00
"33ENG2","14-0000103",04/03/2014,"11272","_4B30ZKMZO","1",04/03/2014,T,"15:13:41",04/03/2014 15:13:41
"33BRU1","14-0000104",04/04/2014,"11272","_4B90SD4IS","1",04/04/2014,T,"10:05:31",04/04/2014 10:05:31
"33ENG2","14-0000104",04/04/2014,"11272","_4B90SIT38","1",04/04/2014,T,"10:13:14",04/04/2014 10:13:14
"33BRU1","14-0000106",04/06/2014,"11272","_4B90T0JCE","1",/  /,F,"",/  /       :  :
"33ENG2","14-0000106",04/06/2014,"11272","_4B90T65NU","1",/  /,F,"",/  /       :  :
"33ENG2","14-0000109",04/08/2014,"11272","_4B90VOQZ2","1",04/08/2014,T,"17:21:50",04/08/2014 17:21:50
"33C-1","14-0000109",04/08/2014,"11272","_4B90VUQ8C","1",04/08/2014,T,"17:20:00",04/08/2014 17:20:00
"33ENG2","14-0000110",04/08/2014,"11272","_4B90WM41J","1",/  /,F,"",/  /       :  :
"33BRU1","14-0000110",04/08/2014,"11272","_4B90WR14Q","",/  /,F,"",/  /       :  :
"33C-1","14-0000110",04/08/2014,"11272","_4B90WUPEF","1",/  /,F,"",/  /       :  :
"33BRU1","14-0000112",04/12/2014,"11272","_4B90X90L6","1",04/12/2014,T,"15:26:07",04/12/2014 15:26:07
"33BRU1","14-0000113",04/13/2014,"11272","_4B90Y9SRL","1",04/13/2014,T,"13:28:41",04/13/2014 13:28:41
"33ENG2","14-0000113",04/13/2014,"11272","_4B90YFHSI","1",04/13/2014,T,"13:30:06",04/13/2014 13:30:06
"33BRU1","14-0000115",04/18/2014,"11272","_4B90YWSOL","C",/  /,F,"",/  /       :  :
"33ENG2","14-0000129",06/01/2014,"11272","_4B90ZQ634","",06/01/2014,T,"21:09:19",06/01/2014 21:09:19
"33ENG2","15-0000004",07/03/2014,"11272","_4BA1492EH","1",07/03/2014,T,"20:58:00",07/03/2014 20:58:00
"33ENG1","15-0000004",07/03/2014,"11272","_4BA14G0BR","1",07/03/2014,T,"21:00:00",07/03/2014 21:00:00
"33ENG2","15-0000029",08/09/2014,"11272","_4BE13RJ8P","1",08/09/2014,T,"18:21:45",08/09/2014 18:21:45
"33ENG2","15-0000033",08/25/2014,"11272","_4BF146SRJ","1",08/25/2014,T,"19:22:51",08/25/2014 19:22:51
"33ENG2","15-0000070",01/01/2015,"11272","_4IS0YY42T","1",01/01/2015,T,"15:44:02",01/01/2015 15:44:02
"33ENG2","15-0000071",01/03/2015,"11272","_4IS1039HS","1",01/03/2015,T,"08:59:15",01/03/2015 08:59:15
"33ENG2","15-0000072",01/04/2015,"11272","_4IS10TFZL","1",01/04/2015,T,"12:18:52",01/04/2015 12:18:52
"33ENG2","15-0000073",01/06/2015,"11272","_4IS12ME2Q","1",01/06/2015,T,"14:18:04",01/06/2015 14:18:04
"33RES1","15-0000074",01/06/2015,"11272","_4IS137300","1",01/06/2015,T,"21:43:14",01/06/2015 21:43:14
"33RES1","15-0000075",01/08/2015,"11272","_4IS13X9C5","1",01/08/2015,T,"20:32:24",01/08/2015 20:32:24
"33C-2","15-0000075",01/08/2015,"11272","_4IS140LTI","1",01/08/2015,T,"20:32:24",01/08/2015 20:32:24
"33RES1","16-0000048",11/22/2015,"11272","_4J80Y9YSJ","",11/22/2015,T,"08:43:34",11/22/2015 08:43:34
"33RES1","15-0000076",01/14/2015,"11272","_4J8141HEA","1",01/14/2015,T,"13:55:16",01/14/2015 13:55:16
"33C-1","15-0000076",01/14/2015,"11272","_4J8145AMV","1",01/14/2015,T,"13:46:18",01/14/2015 13:46:18
"33RES1","15-0000077",01/15/2015,"11272","_4J9101LOQ","1",01/15/2015,T,"18:23:30",01/15/2015 18:23:30
"33ENG2","15-0000077",01/15/2015,"11272","_4J91139FH","1",01/15/2015,T,"18:31:02",01/15/2015 18:31:02
"33ENG2","16-0000048",11/22/2015,"11272","_4J912RRR1","",11/22/2015,T,"08:37:31",11/22/2015 08:37:31
"33RES1","15-0000079",01/19/2015,"11272","_4J913K7Q0","1",01/19/2015,T,"18:33:52",01/19/2015 18:33:52
"33C-1","15-0000079",01/19/2015,"11272","_4J913NHH0","1",01/19/2015,T,"18:24:12",01/19/2015 18:24:12
"33ENG2","15-0000080",01/23/2015,"11272","_4JA11V7VV","1",01/23/2015,T,"17:57:41",01/23/2015 17:57:41
"33ENG2","15-0000081",01/27/2015,"11272","_4JA12JUVK","1",01/27/2015,T,"07:54:28",01/27/2015 07:54:28
"33ENG2","15-0000082",02/02/2015,"11272","_4JA13GVZ4","1",/  /,F,"",/  /       :  :
"33RES1","15-0000083",02/03/2015,"11272","_4JA14CCG4","",02/03/2015,T,"09:27:46",02/03/2015 09:27:46
"33RES1","15-0000084",02/03/2015,"11272","_4JG11K1Y7","2",02/03/2015,T,"09:53:30",02/03/2015 09:53:30
"33RES1","15-0000085",02/03/2015,"11272","_4JG12QF0H","1",02/03/2015,T,"15:51:53",02/03/2015 15:51:53
"33ENG2","15-0000086",02/04/2015,"11272","_4KU0WITT5","1",02/04/2015,T,"02:18:09",02/04/2015 02:18:09
"33RES1","15-0000087",02/04/2015,"11272","_4KU0X9QGL","1",02/04/2015,T,"10:52:06",02/04/2015 10:52:06
"33ENG2","15-0000088",02/05/2015,"11272","_4KU11MW05","1",02/05/2015,T,"02:35:55",02/05/2015 02:35:55
"33ENG2","15-0000089",02/08/2015,"11272","_4KU13UJVE","1",02/08/2015,T,"19:37:47",02/08/2015 19:37:47
"33RES1","15-0000089",02/08/2015,"11272","_4KU140J41","1",02/08/2015,T,"19:39:45",02/08/2015 19:39:45
"33ENG2","15-0000090",02/13/2015,"11272","_4KZ10HVBG","1",02/13/2015,T,"08:20:13",02/13/2015 08:20:13
"33ENG2","15-0000091",02/16/2015,"11272","_4L0102CLD","1",02/16/2015,T,"07:41:40",02/16/2015 07:41:40
"33ENG2","15-0000092",02/18/2015,"11272","_4L0118KUB","1",02/18/2015,T,"10:56:57",02/18/2015 10:56:57
